# name, mass,, mass_error, radius, radius_error, period, period_error, axis, axis_error, eccentricity, eccentricity_error, inclination, inclination_error, angular_distance, omega, omega_error, tperi, tperi_error, tconj, tconj_error, tzero_tr, tzero_tr_error, tzero_tr_sec, tzero_tr_sec_error, lambda_angle, lambda_angle_error, tzero_vr, tzero_vr_error, temp_calculated, temp_measured, hot_point_lon, log_g, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
HD 156411 b,0.74,235.246,"[0.04, 0.05]",,,842.2,[14.5],1.88,"[0.04, 0.04]",0.22,[0.08],,,0.03412,43,"[14.0, 14.0]",4356,"[33.0, 33.0]",,,,,,,,,,,,,,,detected by radial velocity,,HD 156411,19:51.0,-48:32:58,6.67,,,,,55.1,-0.12,1.25,2.16,F8IV/V,,5900
HD 156668 b,0.0131,4.16449,[0.0018],,,4.646,[0.0011],0.05,[0.0007],0,,,,0.002041,,,24718.57,[0.11],,,,,,,,,,,,,,,detected by radial velocity,,HD 156668,17:40.0,+29:13:38,8.42,,,,,24.5,0.05,0.772,0.72,K3V,8.6,4850
HD 157172 b,0.12,38.148,,,,104.84,,0.416,,0.46,,,,0.013041,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 157172,22:35.0,-19:36:58,7.86,,,,,31.9,,,,G8.5V,,
HD 158038 b,1.8,572.22,[0.2],,,521,[6.9],1.52,[0.04],0.291,[0.093],,,0.014672,334,[10.0],2455491,[20.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 158038,25:45.0,+27:18:12,7.64,,,,,103.6,0.28,1.65,4.8,K2III,2.5,4897
HD 159868 b,2.1,667.59,[0.11],,,1178.4,[8.8],2.25,[0.03],0.01,[0.03],,,0.042694,350,[171.0],2453435,[56.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 159868,17:39:-0.0,-43:08:44,7.24,,,,,52.7,0,1.09,,G5V,8.1,5395
HD 159868 c,0.73,232.067,[0.05],,,352.3,[1.3],1,[0.01],0.15,[0.05],,,0.018975,290,[25.0],24553239,[21.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 159868,17:39:-0.0,-43:08:44,7.24,,,,,52.7,0,1.09,,G5V,8.1,5395
HD 16141 b,0.215,68.3485,[0.03],,,75.82,[0.4],0.35,,0.28,[0.15],,,0.009749,41,[22.0],2451547.2,[4.1],,,,,,,,,,,,,,,detected by radial velocity,,HD 16141,35:19.0,-03:33:38,6.78,,,,,35.9,0.02,1.01,1,G5 IV,7.76,5533
HD 16175 b,4.4,1398.76,,,,990,[20.0],2.1,,0.59,[0.11],,,0.035117,222,[9.0],2452820,[30.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 16175,37:02.0,+42:03:45,7.28,,6.17,5.92,5.85,59.8,0.23,1.35,1.87,G0,5.3,6000
HD 162020 b,14.4,4577.76,,,,8.428198,[5.6e-05],0.074,,0.277,[0.002],,,0.002367,-27.328,[0.002],51990.677,[0.005],,,,,,,,,,,,,,,detected by radial velocity,,HD 162020,50:38.0,-40:19:06,9.18,,,,,31.26,0.01,0.75,0.71,K2 V,0.76,4830
HD 163607 b,0.77,244.783,[0.04],,[],75.229,[0.02],0.36,[0.01],0.73,[0.02],,[],0.005217,78.7,[2.0],2454185,[0.24],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 163607,53:40.0,+56:23:31,8.15,,,,,69,0.21,1.09,1.63,G5IV,8.6,5543
HD 163607 c,2.29,727.991,[0.16],,[],1314,[8.0],2.42,[0.01],0.12,[0.06],,[],0.035072,265,[93.0],2455085,[880.0],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 163607,53:40.0,+56:23:31,8.15,,,,,69,0.21,1.09,1.63,G5IV,8.6,5543
HD 16417 b,0.069,21.9351,[0.007],,,17.24,[0.01],0.14,[0.01],0.2,[0.09],,,0.00549,77,[26.0],99.74,[3.3],,,,,,,,,,,,,,,detected by radial velocity,,HD 16417,36:59.0,-34:34:41,5.78,,,,,25.5,0.19,1.18,,G1V,4.3,5936
HD 164509 b,0.48,152.592,[0.09],,,282.4,[3.8],0.875,[0.008],0.26,[0.14],,,0.016827,324,[110.0],2455703,[30.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 164509,01:31.0,+00:06:16,8.24,,,,,52,0.21,1.13,1.06,G5V,1.1,5922
HD 164604 b,2.7,858.33,[1.3],,,606.4,[9.0],1.13,[0.05],0.24,[0.14],,,0.029737,51,[23.0],24552674,[80.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 164604,03:07.0,-28:33:38,9.7,,,,,38,-0.18,0.8,,K2V,,
HD 164922 b,0.36,114.444,[0.046],,,1155,[23.0],2.11,[0.13],0.05,[0.14],,,0.096215,195,,11100,[280.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 164922,02:30.0,+26:18:46,7.01,,,,,21.93,0.17,0.94,0.9,K0V,13.4,5385
HD 166724 b,3.53,1122.187,[0.11],,[],8100,[],5.42,[0.43],0.734,[0.02],,[],,202.3,[3.6],2453212,[556.0],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 166724,14:00.0,-42:34:31,9.31,,,,,42.3,,,,K0IV,,
HD 167042 b,1.6,508.64,,,,416.1,[4.0],1.3,,0.03,[0.04],,,0.026,34,[40.0],2453330,[120.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 167042,10:32.0,+54:17:12,5.97,,3.93,3.56,3.55,50,0.05,1.64,4.3,K1III,2.2,5020
HD 168443 b,7.659,2434.7961,[0.0975],,[],58.11247,[0.0003],0.2931,[0.00181],0.52883,[0.00103],,[],0.007841,172.923,[0.139],15626.199,[0.024],15621.637,[0.0156],,[],,,,,,,,,,,detected by radial velocity,,HD 168443,20:04.0,-09:35:34,6.92,,,,,37.38,0.04,0.995,1.51,G5,9.8,5591
HD 168443 c,17.193,5465.6547,[0.21],,[],1749.83,[0.57],2.8373,[0.018],0.2113,[0.0017],35.7,"[11.0, 11.0]",0.075904,64.87,[0.51],15521.3,[2.2],15559.9,[1.19],,[],,,,,,,,,,,detected by radial velocity,,HD 168443,20:04.0,-09:35:34,6.92,,,,,37.38,0.04,0.995,1.51,G5,9.8,5591
HD 168746 b,0.23,73.117,,,,6.403,[0.001],0.065,,0.081,[0.029],,,0.001507,16.3,[20.88],2451994.7,[0.4],,,,,,,,,,,,,,,detected by radial velocity,,HD 168746,21:49.0,-11:55:21,7.95,,,,,43.12,-0.06,0.88,1.12,G5,3.75,5610
HD 1690 b,6.1,1939.19,[0.9],,,533,[1.7],1.3,[0.02],0.64,[0.04],,,0.004075,122,[8.0],54449,[5.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 1690,21:13.0,-08:16:52,9.17,,,,,319,-0.32,1.09,16.7,K1III,6.7,4393
HD 169830 b,2.88,915.552,,,,225.62,[0.22],0.81,,0.31,[0.01],,,0.022302,148,[2.0],51923,[1.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 169830,27:49.0,-29:49:00,5.9,,,,,36.32,0.21,1.4,1.84,F8 V,4.95,6266
HD 169830 c,4.04,1284.316,,,,2102,[264.0],3.6,,0.33,[0.02],,,0.099119,252,[8.0],52516,[25.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 169830,27:49.0,-29:49:00,5.9,,,,,36.32,0.21,1.4,1.84,F8 V,4.95,6266
HD 170469 b,0.67,212.993,,,,1145,[18.0],2.24,,0.11,[0.08],,,0.034477,34,[19.0],11669,[21.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 170469,29:11.0,+11:41:44,8.21,,,,,64.97,0.3,1.14,1.22,G5IV,6.7,5810
HD 17092 b,4.6,1462.34,[0.3],,,359.9,[2.4],1.29,[0.05],0.166,[0.052],,,0.011835,347.4,[13.4],52969.5,[12.3],,,,,,,,,,,,,,,detected by radial velocity,,HD 17092,46:22.0,+49:39:11,7.73,,,,,109,0.18,2.3,,,,4650
HD 171028 b,1.98,629.442,,,,550,[3.0],1.32,,0.59,[0.01],,,0.014667,304,[1.0],2454187,[1.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 171028,32:15.0,+06:56:45,8.31,,,,,90,-0.49,0.99,1.95,G0,8,5663
HD 171238 b,2.6,826.54,[0.15],,,1523,"[45.0, 45.0]",2.54,[0.06],0.4,"[-0.065, -0.065]",,,0.050517,47,"[-9.8, -9.8]",5062,[20.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 171238,34:44.0,-28:04:20,8.66,,,,,50.28,0.17,0.943,,KOV,4.92,5467
HD 17156 b,3.191,1014.4189,[0.033],1.095,[0.02],21.2163979,[1.59e-05],0.1623,"[0.002, 0.002]",0.6768,[0.0034],87.21,[0.31],0.002074,121.71,[0.43],3738.529,[0.5],,[],4884.02817,[7.3e-05],,,,,,,,,,,detected by transit,,HD 17156,49:44.0,+71:45:12,8.17,,,,,78.24,0.24,1.275,1.508,G0,3.38,6079
HD 173416 b,2.7,858.33,[0.3],,,323.6,[2.2],1.16,[0.06],0.21,[0.04],,,0.008593,254,[11.0],3465.8,[8.3],,,,,,,,,,,,,,,detected by radial velocity,,HD 173416,43:36.0,+36:33:24,6.06,,,,,135,,2,13.5,G8,,4683
HD 175167 b,7.8,2479.62,[3.5],,,1290,[22.0],2.4,[0.05],0.54,[0.09],,,0.03581,342,[9.0],24553598,[48.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 175167,00:01.0,-69:56:39,9.18,,,,,67.02,0.19,1.102,,G5 IV/V,,
HD 175541 b,0.61,193.919,,,,297.3,[6.0],1.03,,0.33,[0.2],,,0.008047,183,[30.0],2450213,[20.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 175541,55:41.0,+04:15:55,8.03,,,,,128,-0.07,1.65,3.85,G8IV,1.9,5060
HD 176051 b,1.5,476.85,[0.3],,,1016,[40.0],1.76,,0,,,,0.117412,,,,,,,,,,,,,,,,,,,detected by astrometry,,HD 176051,57:02.0,+32:54:05,5.22,,,,,14.99,,,,,,
HD 177830 b,1.49,473.671,[0.03],,[],406.6,[0.4],1.2218,[0.0008],0.0009,[0.004],,[],0.020708,85,[31.0],10154,[35.0],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 177830,05:20.0,+25:55:14,7.18,,,,,59,0.55,1.47,2.99,K0IV,4.4,4948
HD 177830 c,0.15,47.685,[0.03],,[],110.9,[0.3],0.5137,[0.0006],0.3495,[0.0002],,[],0.008707,110,[2.0],10179,[2.0],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 177830,05:20.0,+25:55:14,7.18,,,,,59,0.55,1.47,2.99,K0IV,4.4,4948
HD 178911 B b,6.292,2000.2268,[0.059],,,71.487,[0.018],0.32,,0.1243,[0.0075],,,0.006848,169.8,[3.6],50305.7,[0.62],,,,,,,,,,,,,,,detected by radial velocity,,HD 178911 B,09:03.0,+34:35:59,7.98,,,,,46.73,0.28,1.07,1.14,G5,5.2,5650
HD 179079 b,0.08,25.432,,,,14.476,[0.011],0.11,,0.115,[0.087],,,0.001727,357,[62.0],2454400.5,[2.4],,,,,,,,,,,,,,,detected by radial velocity,,HD 179079,11:10.0,-02:38:18,7.95,,,,,63.69,0.29,1.087,1.48,G5IV,,5724
HD 179949 b,0.95,302.005,[0.04],,[],3.0925,[3e-05],0.045,[0.001],0.022,[0.014],,[],0.001667,183,[34.0],51793.98,[0.029],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 179949,15:33.0,-24:10:45,6.25,,,,,27,0.22,1.28,1.19,F8 V,2.05,6260
HD 180314 b,22,6993.8,,,,396.03,[0.62],1.4,,0.257,[0.01],,,0.010606,302.1,[2.3],3565.9,[3.1],,,,,,,,,,,,,,,detected by radial velocity,,HD 180314,14:50.0,+31:51:37,6.61,,,,,132,0.2,2.6,9.2,K0,,4917
HD 180902 b,1.6,508.64,[0.2],,,479,[13.0],1.39,[0.04],0.09,[0.11],,,0.012636,300,[100.0],2454690,[130.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 180902,19:18.0,-23:33:29,7.78,,,,,110,0.04,1.52,4.1,K0III/IV,2.8,5030
HD 181342 b,3.3,1049.07,[0.2],,,663,[29.0],1.78,[0.07],0.177,[0.057],,,0.016094,281,[30.0],2454881,[50.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 181342,21:04.0,-23:37:10,7.55,,,,,110.6,0.26,1.84,4.6,K0III,1.8,5014
HD 181433 b,0.0238,7.56602,[],,[],9.3743,[0.0019],0.08,[],0.396,[0.062],,[],0.003059,202,[10.0],54542,[0.26],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 181433,25:10.0,-66:28:08,8.38,,6.66,6.24,6.09,26.15,0.33,0.78,,K3IV,,4962
HD 181433 c,0.64,203.456,[],,[],962,[15.0],1.76,[],0.28,[0.02],,[],0.067304,21.4,[3.2],53235,[7.3],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 181433,25:10.0,-66:28:08,8.38,,6.66,6.24,6.09,26.15,0.33,0.78,,K3IV,,4962
HD 181433 d,0.54,171.666,[],,[],2172,[158.0],3,[],0.48,[0.05],,[],0.114723,-30,[13.0],52154,[194.0],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 181433,25:10.0,-66:28:08,8.38,,6.66,6.24,6.09,26.15,0.33,0.78,,K3IV,,4962
HD 181720 b,0.37,117.623,,,,956,[14.0],1.78,,0.26,[0.06],1,"[0.9, 0.9]",0.031786,177,[12.0],2453631,[30.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 181720,22:53.0,-32:55:09,7.86,,,,,56,-0.53,0.92,,G1V,,5781
HD 183263 b,3.67,1166.693,[0.3],,,626.5,[1.1],1.51,[0.087],0.357,[0.09],,,0.028491,233.5,[2.3],54343.12,[0.31],,,,,,,,,,,,,,,detected by radial velocity,,HD 183263,28:24.0,+08:21:28,7.86,,,,,53,0.3,1.17,1.21,G2IV,8.1,5888
HD 183263 c,3.82,1214.378,[0.59],,,2950,[340.0],4.25,[0.47],0.253,[0.076],,,0.080189,339.6,[9.1],11910,[120.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 183263,28:24.0,+08:21:28,7.86,,,,,53,0.3,1.17,1.21,G2IV,8.1,5888
HD 185269 b,0.94,298.826,,,,6.838,[0.001],0.077,,0.3,[0.04],,,0.001638,173,[6.8],2453154.1,[0.18],,,,,,,,,,,,,,,detected by radial velocity,,HD 185269,37:12.0,+28:30:00,6.67,,,,,47,0.11,1.28,1.88,G0IV,4.2,5980
HD 187085 b,0.75,238.425,,,,986,,2.05,,0.47,,,,0.045576,94,,2450912,,,,,,,,,,,,,,,,detected by radial velocity,,HD 187085,49:33.0,-37:46:50,7.22,,,,,44.98,0.05,1.22,,G0 V,3.3,6075
HD 187123 b,0.52,165.308,[0.04],,[],3.0965828,[7.8e-06],0.0426,[0.0025],0.01,[0.006],,[],0.000852,25,[],52111.7,[3.0],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 187123,46:57.0,+34:25:15,7.86,,,,,50,0.16,1.06,1.17,G5,5.33,5714
HD 187123 c,1.99,632.621,[0.25],,[],3810,[420.0],4.89,[0.53],0.252,[0.033],,[],0.0978,250,[170.0],53580.04,[30.0],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 187123,46:57.0,+34:25:15,7.86,,,,,50,0.16,1.06,1.17,G5,5.33,5714
HD 18742 b,2.7,858.33,[0.3],,,772,[11.0],1.92,[0.05],0.23,"[inf, nan]",,,0.014222,102,[50.0],2455200,[110.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 18742,00:11.0,-20:48:09,7.97,,,,,135,-0.04,1.6,4.9,G9IV,2.3,5048
HD 188015 b,1.26,400.554,,,,456.46,[9.12],1.19,,0.15,[0.09],,,0.022624,293,[35.7],2451883.51,[53.37],,,,,,,,,,,,,,,detected by radial velocity,,HD 188015,52:04.0,+28:06:01,8.22,,,,,52.6,0.29,1.09,1.1,G5IV,6.2,5520
HD 189567 b,0.0316,10.04564,[0.0034],,,14.275,[0.0052],0.1099,[0.0018],0.23,[0.14],,,0.006209,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 189567,05:33.0,-67:19:15,6.07,,,,,17.7,,,,G2V,,
HD 189733 b,1.138,361.7702,[0.025],1.138,[0.077],2.21857312,"[7.6e-07, 7.6e-07]",0.03142,[0.00052],0.0041,"[0.002, 0.002]",85.51,"[0.05, 0.05]",0.001628,,[],,[],,[],2453988.803,[0.00024],,,,,,,,,,,detected by transit,"H2O, CH4, CO, Na, H, H, H2O",HD 189733,00:43.0,+22:42:39,7.67,,,,,19.3,-0.03,0.8,0.788,K1-K2,0.6,4980
HD 190360 b,1.502,477.4858,[0.13],,[],2891,[85.0],3.92,[0.2],0.36,[0.03],,[],0.246696,12.4,[9.3],110628.1,[99.8],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 190360,03:37.0,+29:53:48,5.71,,,,,15.89,0.24,1.04,1.2,G6 IV,12.11,5588
HD 190360 c,0.057,18.1203,[0.015],,[],17.1,[0.015],0.128,[0.002],0.01,[0.1],,[],0.008055,153.7,[32.0],11000.07,[0.9],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 190360,03:37.0,+29:53:48,5.71,,,,,15.89,0.24,1.04,1.2,G6 IV,12.11,5588
HD 190647 b,1.9,604.01,[0.06],,,1038.1,[4.9],2.07,[0.06],0.18,[0.02],,,0.038192,232.5,[9.4],53868,[24.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 190647,07:20.0,-35:32:19,7.78,,,,,54.2,0.24,1.1,,G5,2,5628
HD 190984 b,3.1,985.49,,,,4885,,5.5,,0.57,[0.1],,,0.053398,318,[5.0],2449572,[1600.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 190984,11:31.0,-64:37:14,8.76,,,,,103,-0.48,0.91,1.53,F8V,,5988
HD 192263 b,0.733,233.0207,[0.015],,,24.3587,[0.0022],0.15312,[0.00095],0.008,[0.014],,,0.007694,184,[90.0],2451796.9,[6.8],2450986.74,[21.0],,,,,,,,,,,,,detected by radial velocity,,HD 192263,14:00.0,+00:52:01,7.79,,,,,19.9,-0.2,0.81,0.75,K2 V,0.57,4965
HD 192310 c,0.075,23.8425,[0.016],,[],525.8,[9.2],1.18,[0.025],0.32,[0.11],,[],0.133787,110,[21.0],2455151.026,[],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 192310,15:17.0,-27:01:59,5.73,,,,,8.82,-0.04,0.8,0.68,K3V,7.81,5166
HD 192699 b,2.5,794.75,,,,351.5,[6.0],1.16,,0.149,[0.06],,,0.017313,54,[30.0],2452994,[30.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 192699,16:06.0,+04:34:51,6.44,,,,,67,-0.15,1.68,4.25,G8IV,1.8,5220
HD 195019 b,3.7,1176.23,[0.3],,,18.20163,[0.0004],0.1388,[0.008],0.014,[0.0044],,,0.003715,322,[20.0],11015,[1.2],,,,,,,,,,,,,,,detected by radial velocity,,HD 195019,28:17.0,+18:46:12,6.91,,,,,37.36,0.08,1.06,1.38,G3 IV-V,5.33,5787
HD 196050 b,2.83,899.657,,,,1316.24,,2.47,,0.21,,,,0.052665,223,,51033,,,,,,,,,,,,,,,,detected by radial velocity,,HD 196050,37:51.0,-60:38:04,7.5,,,,,46.9,0.23,1.17,1.29,G3 V,3.17,5874
HD 196067 b,6.9,2193.51,"[3.9, 1.1]",,[],3638,"[232.0, 185.0]",5.02,[0.19],0.66,"[0.18, 0.09]",,[],,148.2,[7.8],2453375,[225.0],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 196067,41:44.0,-75:21:03,6.02,,,,,44.3,,,,G0V,,
HD 196885 A b,2.98,947.342,[0.05],,[],1326,[3.7],2.6,[0.1],0.48,[0.02],,[],0.078788,93.2,[3.0],11902,[11.0],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 196885 A,39:51.0,+11:14:58,6.4,,,,,33,0.29,1.33,1.79,F8V,2,6340
HD 197037 b,0.79,251.141,[0.05],,,1035.7,[13.0],2.07,[0.05],0.22,[0.07],,,0.062727,298,[26.0],2451353.1,[86.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 197037,39:33.0,+42:14:55,6.81,,,,,33,-0.2,1.11,,F7V,1.9,6150
HD 19994 b,1.68,534.072,[],,[],535.7,[3.1],1.42,[],0.3,[0.04],,[],0.06345,41,[8.0],50944,[12.0],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 19994,12:46.0,-01:11:45,5.07,,,,,22.38,0.25,1.34,1.93,F8 V,8.91,5984
HD 20003 b,0.0378,12.01662,[0.0031],,,11.849,[0.0028],0.0974,[0.0016],0.4,[0.08],,,0.002224,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 20003,07:38.0,-72:19:19,8.37,,,,,43.8,,,,G8V,,
HD 20003 c,0.0422,13.41538,[0.004],,,33.823,[0.0654],0.1961,[0.0032],0.16,[0.09],,,0.004477,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 20003,07:38.0,-72:19:19,8.37,,,,,43.8,,,,G8V,,
HD 200964 b,1.85,588.115,"[-0.08, 0.14]",,,613.8,"[1.4, 1.4]",1.601,[0.002],0.04,"[0.02, 0.02]",,,0.023406,288,"[111.9, 111.9]",2454900,"[89.3, 89.3]",,,,,,,,,,,,,,,detected by radial velocity,,HD 200964,06:40.0,+03:48:11,6.64,,,,,68.4,-0.15,1.44,4.3,KO,3,5164
HD 200964 c,0.9,286.11,"[0.06, 0.12]",,,825,"[3.1, 3.1]",1.95,"[0.005, 0.005]",0.181,"[0.017, 0.017]",,,0.028509,182.6,"[57.1, 57.1]",2455000,"[54.6, 54.6]",,,,,,,,,,,,,,,detected by radial velocity,,HD 200964,06:40.0,+03:48:11,6.64,,,,,68.4,-0.15,1.44,4.3,KO,3,5164
HD 202206 b,17.4,5531.46,,,,255.87,[0.06],0.83,,0.435,[0.001],,,0.017911,161.18,[0.3],,,,,,,,,,,,,,,,,detected by radial velocity,,HD 202206,14:57.0,-20:47:21,8.08,,,,,46.34,0.37,1.13,1.02,G6 V,2.04,5750
HD 202206 c,2.44,775.676,,,,1383.4,[18.4],2.55,,0.267,[0.021],,,0.055028,78.99,[6.65],,,,,,,,,,,,,,,,,detected by radial velocity,,HD 202206,14:57.0,-20:47:21,8.08,,,,,46.34,0.37,1.13,1.02,G6 V,2.04,5750
HD 20367 b,1.07,340.153,,,,500,[6.0],1.25,,0.23,[0.1],,,0.046296,83,[26.0],,,,,,,,,,,51786,[32.0],,,,,detected by radial velocity,,HD 20367,17:40.0,+31:07:37,6.41,,,,,27,0.1,1.04,1.18,G0,0.87,6128
HD 2039 b,4.9,1557.71,[1.0],,,1183,[150.0],2.2,[0.2],0.67,[0.1],,,0.024499,333,[15.0],1183,[150.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 2039,24:20.0,-56:39:00,9.01,,,,,89.8,0.1,0.98,1.21,G2/G3 IV-V,5.28,5947
HD 204313 b,3.55,1128.545,[0.2],,,1920.1,[25.0],3.04,[0.06],0.23,[0.04],,,0.064176,298,[6.0],2452111.6,[28.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 204313,28:12.0,-21:43:35,7.99,,,,,47.37,0.18,1.045,,G5V,3.38,5767
HD 204313 c,0.054,17.1666,[0.0054],,,34.873,[0.0388],0.2103,[0.0035],0.17,[0.09],,,0.00444,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 204313,28:12.0,-21:43:35,7.99,,,,,47.37,0.18,1.045,,G5V,3.38,5767
HD 204313 d,1.68,534.072,[0.3],,,2831.6,[150.0],3.93,[0.14],0.28,[0.09],,,0.082964,247,[16.0],2456376.9,[176.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 204313,28:12.0,-21:43:35,7.99,,,,,47.37,0.18,1.045,,G5V,3.38,5767
HD 204941 b,0.266,84.5614,[0.032],,,1733,[74.0],2.56,[0.08],0.37,[0.08],,,0.094815,-132,[18.0],2456015,[92.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 204941,32:24.0,-20:57:27,8.45,,,,,27,-0.19,0.74,0.72,,6.67,5056
HD 205739 b,1.37,435.523,"[0.09, 0.07]",,,279.8,[0.1],0.896,"[0.015, 0.015]",0.27,[0.07],,,0.009922,301,[8.0],3390.7,[0.7],,,,,,,,,,,,,,,detected by radial velocity,,HD 205739,38:08.0,-31:44:15,8.56,,7.59,7.35,7.23,90.3,0.19,1.22,1.33,F7V,2.84,6176
HD 206610 b,2.2,699.38,[0.1],,,610,[13.0],1.68,[0.05],0.229,[0.058],,,0.00866,296,[10.0],2454677,[20.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 206610,43:25.0,-07:24:30,8.34,,,,,194,0.14,1.56,6.1,K0,3,4874
HD 20781 b,0.0379,12.04841,[0.0035],,,29.15,[0.0201],0.169,[0.0028],0.11,[0.06],,,0.004774,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 20781,20:03.0,-28:47:02,8.44,,,,,35.4,,,,G9.5V,,
HD 20781 c,0.0496,15.76784,[0.0038],,,85.131,[0.1161],0.3456,[0.0047],0.28,[0.09],,,0.009763,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 20781,20:03.0,-28:47:02,8.44,,,,,35.4,,,,G9.5V,,
HD 20782 b,1.9,604.01,[0.5],,,591.9,[2.8],1.381,[0.005],0.97,[0.01],,,0.03834,147.7,[6.5],1083.8,[8.2],,,,,,,,,,,,,,,detected by radial velocity,,HD 20782,20:03.0,-28:51:14,7.38,,,,,36.02,-0.05,1,,G2 V,7.1,5578
HD 207832 b,0.56,178.024,"[0.06, 0.03]",,[],161.97,"[0.97, 0.78]",0.57,[0.002],,[],,[],,,[],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 207832,52:36.0,-26:01:36,8.79,,,,,54.4,0.06,0.94,0.901,G5V,4.5,5710
HD 207832 c,0.73,232.067,"[0.18, 0.06]",,[],1155.7,"[71.0, 37.0]",2.112,"[0.087, 0.045]",,[],,[],,,[],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 207832,52:36.0,-26:01:36,8.79,,,,,54.4,0.06,0.94,0.901,G5V,4.5,5710
HD 20794 b,0.0085,2.70215,[0.00094],,[],18.315,[0.008],0.1207,[0.002],0,,,[],0.019917,,,,[],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 20794,19:56.0,-43:04:11,4.26,,,,,6.06,-0.38,0.85,0.9,G8V,14,5490
HD 20794 c,0.0076,2.41604,[0.0013],,[],40.114,[0.053],0.2036,[0.0034],0,,,[],0.033597,,,,[],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 20794,19:56.0,-43:04:11,4.26,,,,,6.06,-0.38,0.85,0.9,G8V,14,5490
HD 20794 d,0.015,4.7685,[0.0019],,[],90.309,[],0.3499,[0.0059],0,,,[],0.057739,,,,[],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 20794,19:56.0,-43:04:11,4.26,,,,,6.06,-0.38,0.85,0.9,G8V,14,5490
HD 208487 b,0.413,131.2927,[0.05],,,129.8,[0.4],0.51,[0.02],0.21,[0.09],,,0.011333,123,[40.0],51008,[13.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 208487,57:19.0,-37:45:49,7.48,,,,,45,-0.06,1.3,1.15,G2V,3.88,5929
HD 208527 b,9.9,3147.21,[1.7],,[],875.5,[5.8],2.1,[0.2],0.08,[0.04],,[],,278,[19.5],2450745.3,[45.7],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 208527,56:24.0,+21:14:24,6.4,,,,,320.2,-0.09,1.6,51.1,M1III,2,4035
